generation,rank_1,rank_2,swapAccepted
354000,1,2,1
355000,1,2,1
356000,1,3,1
357000,3,4,1
358000,1,2,1
359000,1,4,1
360000,2,4,1
361000,2,3,1
362000,1,3,1
363000,2,4,1
364000,1,2,1
365000,1,2,1
366000,2,4,1
367000,3,4,1
368000,1,4,1
369000,1,3,1
370000,2,4,1
371000,3,4,1
372000,2,3,1
373000,2,3,1
374000,2,4,1
375000,2,4,1
376000,2,4,1
377000,2,3,1
378000,1,2,1
379000,2,4,1
380000,1,4,1
381000,2,4,1
382000,2,4,1
383000,2,3,1
384000,2,3,1
385000,1,3,1
386000,1,2,1
387000,1,2,1
388000,3,4,1
389000,3,4,1
390000,3,4,1
391000,1,4,1
392000,1,4,1
393000,1,4,1
394000,1,3,1
395000,3,4,1
396000,3,4,1
397000,2,4,1
398000,1,2,1
399000,1,3,1
400000,1,4,1
401000,2,4,1
402000,2,4,1
403000,3,4,1
404000,1,2,1
405000,1,2,0
406000,3,4,1
407000,1,3,1
408000,1,4,1
409000,1,2,1
410000,1,2,1
411000,1,2,1
412000,3,4,1
413000,2,3,1
414000,3,4,1
415000,2,4,1
416000,3,4,1
417000,3,4,1
418000,1,4,1
419000,1,2,1
420000,3,4,1
421000,1,2,1
422000,1,4,1
423000,3,4,1
424000,2,4,1
425000,2,3,1
426000,1,2,1
427000,1,3,1
428000,2,4,1
429000,2,4,1
430000,3,4,1
431000,1,4,1
432000,1,4,0
433000,1,2,1
434000,1,4,1
435000,3,4,1
436000,1,3,1
437000,2,4,1
438000,3,4,1
439000,3,4,1
440000,2,4,1
441000,2,3,1
442000,2,4,1
443000,1,4,1
444000,2,3,1
445000,1,2,1
446000,2,4,1
447000,1,3,1
448000,1,4,1
449000,2,3,1
450000,1,3,1
451000,1,4,1
452000,1,3,1
453000,1,4,1
454000,1,2,1
455000,3,4,1
456000,1,2,1
457000,1,3,1
458000,2,4,1
459000,1,4,1
460000,2,3,1
461000,1,4,1
462000,2,3,1
463000,2,4,1
464000,2,4,1
465000,3,4,1
466000,3,4,1
467000,2,3,1
468000,2,3,1
469000,3,4,1
470000,1,4,1
471000,3,4,1
472000,2,4,1
473000,1,4,1
474000,2,4,1
475000,1,4,1
476000,2,4,1
477000,3,4,1
478000,1,2,1
479000,1,3,1
480000,1,3,1
481000,2,4,1
482000,1,3,1
483000,1,3,1
484000,2,4,1
485000,1,2,1
486000,1,2,1
487000,1,3,1
488000,1,4,1
489000,1,3,1
490000,1,2,1
491000,1,2,1
492000,2,3,1
493000,2,3,1
494000,2,3,1
495000,1,4,1
496000,1,3,1
497000,3,4,1
498000,1,2,1
499000,1,2,1
500000,1,4,1
501000,1,4,1
502000,2,4,1
503000,1,2,1
504000,3,4,1
505000,1,3,1
506000,1,2,1
507000,3,4,1
508000,3,4,1
509000,1,2,1
510000,1,4,1
511000,2,3,1
512000,3,4,1
513000,1,3,1
514000,2,3,1
515000,1,4,1
516000,2,4,1
517000,1,3,1
518000,1,2,1
519000,1,3,1
520000,2,3,1
521000,1,4,1
522000,3,4,1
523000,1,2,1
524000,1,2,1
525000,2,3,1
526000,2,4,1
527000,1,3,1
528000,1,4,1
529000,2,4,1
530000,2,4,1
531000,2,4,1
532000,3,4,1
533000,1,3,1
534000,1,3,1
535000,3,4,1
536000,2,3,1
537000,2,3,1
538000,1,3,1
539000,2,3,1
540000,1,3,1
541000,3,4,1
542000,1,2,1
543000,3,4,1
544000,1,2,1
545000,2,3,1
546000,2,3,1
547000,2,4,1
548000,1,4,1
549000,1,2,1
550000,2,3,1
551000,1,2,1
552000,2,4,1
553000,1,4,1
554000,3,4,1
555000,2,3,1
556000,1,2,1
557000,1,3,1
558000,1,2,1
559000,1,3,1
560000,2,4,1
561000,2,4,1
562000,2,4,1
563000,2,3,1
564000,1,2,1
565000,1,2,1
566000,1,2,1
567000,2,3,1
568000,1,3,1
569000,1,2,1
570000,2,4,1
571000,1,4,1
572000,1,2,1
573000,1,2,1
574000,3,4,1
575000,1,2,1
576000,1,2,1
577000,1,4,1
578000,1,2,1
579000,2,3,1
580000,2,4,1
581000,1,2,1
582000,1,3,1
583000,1,3,1
584000,2,4,1
585000,2,4,1
586000,1,2,1
587000,2,4,1
588000,2,3,1
589000,1,3,1
590000,2,3,1
591000,3,4,1
592000,2,3,1
593000,2,3,1
594000,1,2,1
595000,2,4,1
596000,1,4,1
597000,3,4,1
598000,1,4,1
599000,3,4,1
600000,1,2,1
601000,1,3,1
602000,3,4,1
603000,2,4,1
604000,2,4,1
605000,2,4,1
606000,2,4,1
607000,3,4,1
608000,1,4,1
609000,1,3,1
610000,3,4,1
611000,2,3,1
612000,2,4,1
613000,1,4,1
614000,1,2,1
615000,2,3,1
616000,1,3,1
617000,1,4,1
618000,3,4,1
619000,2,3,1
620000,2,3,1
621000,2,4,1
622000,2,3,1
623000,3,4,1
624000,1,2,1
625000,1,3,1
626000,1,4,1
627000,2,3,1
628000,1,2,1
629000,1,2,1
630000,2,4,1
631000,3,4,1
632000,1,2,1
633000,1,4,1
634000,2,4,1
635000,1,4,1
636000,2,4,1
637000,1,3,1
638000,2,3,1
639000,1,4,1
640000,1,3,1
641000,1,2,1
642000,2,4,1
643000,2,3,1
644000,2,3,1
645000,2,3,1
646000,1,3,1
647000,2,3,1
648000,1,3,1
649000,2,4,1
650000,1,2,1
651000,1,2,1
652000,1,2,1
653000,1,4,1
654000,1,2,1
655000,1,2,1
656000,2,4,1
657000,1,2,1
658000,1,3,1
659000,1,2,1
660000,1,3,1
661000,2,3,1
662000,1,2,1
663000,1,3,1
664000,2,3,1
665000,3,4,1
666000,2,4,1
667000,1,4,1
668000,2,3,1
669000,1,2,1
670000,2,4,1
671000,2,4,1
672000,1,4,1
673000,3,4,1
674000,2,3,1
675000,3,4,1
676000,1,3,1
677000,1,2,1
678000,2,4,1
679000,1,3,1
680000,1,4,1
681000,1,3,1
682000,1,4,1
683000,1,4,1
684000,1,2,1
685000,2,3,1
686000,2,3,1
687000,2,4,1
688000,1,2,1
689000,1,3,1
690000,2,4,1
691000,1,4,0
692000,1,4,1
693000,1,3,1
694000,1,3,1
695000,1,2,1
696000,3,4,1
697000,1,3,1
698000,2,3,1
699000,1,2,1
700000,2,4,1
701000,1,4,1
702000,3,4,1
703000,3,4,1
704000,1,2,1
705000,1,2,1
706000,2,4,1
707000,1,4,1
708000,1,2,1
709000,2,3,1
710000,1,2,1
711000,1,4,1
712000,1,3,1
713000,1,2,1
714000,2,4,1
715000,2,3,1
716000,1,2,1
717000,2,4,1
718000,1,2,1
719000,2,4,0
720000,1,4,1
721000,1,3,1
722000,1,2,1
723000,2,4,1
724000,1,2,1
725000,2,3,1
726000,2,4,1
727000,2,4,1
728000,1,4,1
729000,2,3,1
730000,2,3,1
731000,2,3,1
732000,1,4,1
733000,2,3,1
734000,2,4,1
735000,1,3,1
736000,1,2,1
737000,2,4,1
738000,1,3,1
739000,1,4,1
740000,3,4,1
741000,1,3,1
742000,3,4,1
743000,2,4,1
744000,2,3,1
745000,1,3,1
746000,1,3,1
747000,2,3,1
748000,1,2,1
749000,1,3,1
750000,2,4,0
751000,2,4,1
752000,1,4,0
753000,2,3,1
754000,2,3,1
755000,2,3,1
756000,3,4,1
757000,2,3,1
758000,1,2,1
759000,1,3,1
760000,1,3,1
761000,1,4,1
762000,1,4,1
763000,1,3,1
764000,2,4,1
765000,3,4,1
766000,2,4,1
767000,3,4,1
768000,2,4,1
769000,2,3,1
770000,3,4,1
771000,1,2,1
772000,2,4,1
773000,2,4,1
774000,2,3,1
775000,2,4,1
776000,3,4,1
777000,2,4,1
778000,3,4,1
779000,2,4,1
780000,1,3,1
781000,1,3,1
782000,1,3,1
783000,1,2,1
784000,1,3,1
785000,1,3,1
786000,2,4,1
787000,2,3,1
788000,1,4,1
789000,1,3,1
790000,2,3,1
791000,2,3,1
792000,1,4,1
793000,2,4,1
794000,1,4,1
795000,1,4,1
796000,2,4,1
797000,1,2,1
798000,1,4,0
799000,2,4,1
800000,1,2,1
801000,3,4,1
802000,1,4,1
803000,2,4,1
804000,1,2,1
805000,1,3,1
806000,1,3,1
807000,1,3,1
808000,1,3,1
809000,2,3,1
810000,1,3,1
811000,2,3,1
812000,3,4,1
813000,1,3,1
814000,1,2,1
815000,1,3,1
816000,2,3,1
817000,1,2,1
818000,1,3,1
819000,1,2,1
820000,2,3,1
821000,2,4,1
822000,1,4,1
823000,3,4,1
824000,2,4,1
825000,3,4,1
826000,1,2,1
827000,1,2,1
828000,2,4,1
829000,2,3,1
830000,1,4,1
831000,3,4,1
832000,1,3,1
833000,2,4,1
834000,2,3,1
835000,2,4,1
836000,2,4,1
837000,3,4,1
838000,1,2,1
839000,1,2,1
840000,1,2,1
841000,1,4,1
842000,2,4,1
843000,1,4,1
844000,3,4,1
845000,2,3,1
846000,1,4,1
847000,1,3,1
848000,2,4,1
849000,2,4,1
850000,1,4,0
851000,2,4,1
852000,3,4,1
853000,2,3,1
854000,1,3,0
855000,3,4,1
856000,1,4,1
857000,2,3,1
858000,1,2,1
859000,1,4,1
860000,2,4,1
861000,2,4,1
862000,2,4,1
863000,1,3,1
864000,2,3,1
865000,2,3,1
866000,1,3,1
867000,1,3,1
868000,2,4,1
869000,2,3,1
870000,1,3,1
871000,1,4,1
872000,1,3,1
873000,2,3,1
874000,3,4,1
875000,2,4,1
876000,2,4,1
877000,1,2,1
878000,1,2,1
879000,1,4,1
880000,3,4,1
881000,2,3,1
882000,1,4,1
883000,2,3,1
884000,2,3,1
885000,1,2,1
886000,2,3,1
887000,1,2,1
888000,1,4,1
889000,1,2,1
890000,2,4,1
891000,1,4,1
892000,1,2,1
893000,1,3,1
894000,2,4,1
895000,2,4,1
896000,1,3,1
897000,2,4,1
898000,2,3,1
899000,1,3,1
900000,1,4,0
901000,2,4,1
902000,2,3,1
903000,2,4,1
904000,2,4,1
905000,2,4,1
906000,1,2,1
907000,1,3,1
908000,3,4,1
909000,1,4,1
910000,1,3,1
911000,1,2,1
912000,1,2,1
913000,1,4,1
914000,1,2,1
915000,1,2,1
916000,1,3,1
917000,2,4,1
918000,1,4,1
919000,1,3,1
920000,1,4,1
921000,3,4,1
922000,2,4,1
923000,3,4,1
924000,1,2,1
925000,3,4,1
926000,3,4,1
927000,2,4,0
928000,3,4,1
929000,2,3,1
930000,1,2,1
931000,2,4,1
932000,2,4,1
933000,1,3,1
934000,2,3,1
935000,1,3,1
936000,1,2,1
937000,3,4,1
938000,2,3,1
939000,1,2,1
940000,2,4,1
941000,1,4,1
942000,3,4,1
943000,1,2,1
944000,3,4,1
945000,1,4,1
946000,2,4,1
947000,2,3,1
948000,2,3,1
949000,1,4,1
950000,1,3,1
951000,1,2,1
952000,2,3,1
953000,1,4,1
954000,1,3,1
955000,1,4,1
956000,2,3,1
957000,1,3,1
958000,3,4,1
959000,1,3,1
960000,2,3,1
961000,1,3,1
962000,2,3,1
963000,1,2,1
964000,1,3,1
965000,1,3,1
966000,1,3,1
967000,1,3,1
968000,1,4,1
969000,1,2,1
970000,2,4,1
971000,3,4,1
972000,1,2,1
973000,3,4,1
974000,1,3,1
975000,2,3,1
976000,1,2,1
977000,1,4,1
978000,2,3,1
979000,2,3,0
980000,3,4,1
981000,2,3,1
982000,1,3,1
983000,1,4,1
984000,1,4,1
985000,2,3,1
986000,3,4,1
987000,3,4,1
988000,1,3,1
989000,1,2,1
990000,2,3,1
991000,1,2,1
992000,2,3,1
993000,1,4,1
994000,1,3,1
995000,1,3,1
996000,1,2,1
997000,2,3,1
998000,2,3,1
999000,2,3,1
1000000,2,3,1
