generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
68000,species1,species3,0,0.0232655,-0.00131105,0.0110857,0
69000,species1,species3,0,0.0215864,-0.00131105,0.00922268,0
70000,species1,species3,0,0.0153442,-0.000832512,0.00670739,0
71000,species1,species3,0,0.00997079,0.00196312,0.00443722,0
71000,species3,NA,184.764,0.00374156,0.00299739,0.0484267,0
72000,species1,species3,0,0.0288119,-0.00302704,0.00827835,0
72000,species3,NA,250.231,0.0370051,0.000281569,0.143266,0
73000,species1,species3,0,0.0310496,-0.00271177,0.0150836,0
74000,species1,species3,0,0.00983871,0.00164923,0.00421085,0
75000,species1,species3,0,0.0198926,-0.00161744,0.00567006,0
76000,species1,species3,0,0.0404604,-0.00300879,0.0123625,0
77000,species1,species3,0,0.0333936,-0.00313525,0.00888662,0
77000,species3,NA,87.4516,0.0070753,-0.00513655,0.0359872,0
78000,species1,species3,0,0.0256306,-0.00249567,0.00693045,0
79000,species1,species3,0,0.0135345,-0.000461069,0.00141855,0
80000,species1,species3,0,0.0264171,-0.00199834,0.0103323,0
80000,species3,NA,281.666,0.000336184,0.00326814,0.109277,0
81000,species1,species3,0,0.0162091,-0.00109736,0.0018134,0
82000,species1,species3,0,0.0214917,-0.000653634,0.0125054,0
83000,species1,species3,0,0.0267033,-0.00229901,0.0077408,0
84000,species1,species3,0,0.0271556,-0.00229901,0.0101604,0
85000,species1,species3,0,0.02583,-0.00190622,0.00829878,0
86000,species1,species3,0,0.0146148,-0.000219024,0.0042265,0
86000,species3,NA,43.3626,0.0472497,-0.00176284,0.0543804,0
87000,species1,species3,0,0.0121305,-0.000219024,0.00172118,0
88000,species1,species3,0,0.0349624,-0.0025067,0.0128157,0
89000,species1,species3,0,0.00745961,0.00125598,0.000332644,0
90000,species1,species3,0,0.0114519,0.000996064,0.00295086,0
91000,species1,species3,0,0.0179307,-0.00138999,0.0058475,0
92000,species1,species3,0,0.0130686,-0.000435175,0.0032585,0
93000,species1,species3,0,0.0130076,-5.47482e-05,0.00550927,0
94000,species1,species3,0,0.0151109,-0.000406188,0.00492138,0
95000,species1,species3,0,0.00983217,0.0033306,0.00294733,0
96000,species1,species3,0,0.01661,0.000396116,0.0115015,0
97000,species1,species3,0,0.031505,-0.00403607,0.0055271,0
98000,species1,species3,0,0.0208751,-0.00126062,0.00918432,0
99000,species1,species3,0,0.0136738,0.00050459,0.0102996,0
100000,species1,species3,0,0.0133564,-0.000151228,0.00384198,0
101000,species1,species3,0,0.0125441,-0.000151228,0.00387882,0
102000,species1,species3,0,0.0134493,-0.000151228,0.00368502,0
102000,species3,NA,56.8805,0.0259887,-0.00128836,0.045562,0
103000,species1,species3,0,0.0119783,6.80392e-05,0.00260355,0
104000,species1,species3,0,0.0132531,6.80392e-05,0.0062252,0
105000,species1,species3,0,0.0122353,6.80392e-05,0.00636055,0
106000,species1,species3,0,0.00661077,0.00226701,0.0022985,0
107000,species1,species3,0,0.014648,-0.000359831,0.00123464,0
108000,species1,species3,0,0.0109392,0.000530669,0.00277034,0
109000,species1,species3,0,0.0109548,-0.000224054,0.00377626,0
110000,species1,species3,0,0.005886,0.00310324,0.00145096,0
111000,species1,species3,0,0.0261273,-0.00213145,0.0123856,0
112000,species1,species3,0,0.00843484,0.00119585,0.00301027,0
113000,species1,species3,0,0.0170976,-0.00176833,0.00151735,0
114000,species1,species3,0,0.0104176,0.00315028,0.00602131,0
115000,species1,species3,0,0.00674676,0.00412391,0.000599913,0
115000,species27,NA,315.346,0.0355496,-0.00158224,0.0697465,0
115000,species17,NA,311.536,0.01233,0.00365951,0.010929,0
116000,species1,species3,0,0.0248395,-0.00192787,0.00589982,0
117000,species1,species3,0,0.00943369,0.00195519,0.00514567,0
118000,species1,species3,0,0.00890406,0.000320446,0.000132669,0
118000,species64,NA,323.477,0.0441636,-0.00476982,0.00969811,0
119000,species1,species3,0,0.0228684,-0.00076397,0.0133427,0
119000,species3,NA,211.704,0.0127633,0.00142365,0.0486345,0
120000,species1,species3,0,0.0151725,-0.000223931,0.00426211,0
121000,species1,species3,0,0.0156604,0.000113829,0.00721312,0
122000,species1,species3,0,0.0067843,0.0040661,0.00207917,0
123000,species1,species3,0,0.00938028,0.00161453,0.00288777,0
123000,species53,NA,325.04,0.0665436,-0.00224301,0.052894,0
124000,species1,species3,0,0.0102665,0.000729634,0.00120892,0
124000,species3,NA,234.027,0.00631645,-3.12459e-06,0.0748721,0
125000,species1,species3,0,0.0198658,-0.00136047,0.00461914,0
126000,species1,species3,0,0.00866755,0.000980812,0.00316956,0
127000,species1,species3,0,0.00895786,0.00432538,0.00716645,0
128000,species1,species3,0,0.01139,0.000937213,0.00406579,0
129000,species1,species3,0,0.0138446,-0.000339552,0.00299942,0
130000,species1,species3,0,0.0189648,-0.000942739,0.0059575,0
131000,species1,species3,0,0.0238344,-0.00189754,0.00848178,0
132000,species1,species3,0,0.0163316,-0.00146066,0.00839546,0
133000,species1,species3,0,0.0242529,-0.0025376,0.00642619,0
134000,species1,species3,0,0.0249146,-0.0025376,0.0076586,0
135000,species1,species3,0,0.0266001,-0.00123917,0.0138293,0
136000,species1,species3,0,0.0262926,-0.00426636,0.00346354,0
136000,species3,NA,116.22,0.0420938,-0.000478224,0.076827,0
137000,species1,species3,0,0.0188799,-0.00153198,0.00571492,0
138000,species1,species3,0,0.0157626,-0.000865763,0.00360592,0
139000,species1,species3,0,0.0129248,-0.000865763,0.00100943,0
140000,species1,species3,0,0.0140397,-0.000865763,0.00341388,0
141000,species1,species3,0,0.0135693,-0.000673507,0.000928056,0
