"tree.id","age","no.ex","prop.ex"
"tree_436",56.1,3,0.0434782608695652
"tree_442",64.26,41,0.049338146811071
"tree_447",64.26,21,0.06
"tree_448",64.26,25,0.0564334085778781
"tree_449",62.22,12,0.0465116279069767
"tree_450",62.22,9,0.075
"tree_451",62.22,9,0.0401785714285714
"tree_453",62.22,11,0.0418250950570342
"tree_454",62.22,7,0.0897435897435897
"tree_456",62.22,10,0.153846153846154
"tree_457",60.18,7,0.0921052631578947
"tree_458",60.18,5,0.0666666666666667
"tree_459",60.18,5,0.0543478260869565
"tree_460",60.18,7,0.0154867256637168
"tree_461",60.18,4,0.0317460317460317
"tree_465",58.14,4,0.0701754385964912
"tree_467",58.14,5,0.0581395348837209
"tree_468",58.14,4,0.0266666666666667
"tree_476",56.1,3,0.04
"tree_1d_117",56.1,7,0.114754098360656
"tree_1d_277",56.1,7,0.109375
"tree_1d_29",58.14,11,0.112244897959184
"tree_1d_307",58.14,4,0.0223463687150838
"tree_1d_315",56.1,4,0.0563380281690141
"tree_1d_347",58.14,6,0.028169014084507
"tree_1d_349",58.14,10,0.1
"tree_1d_35",56.1,3,0.0441176470588235
"tree_1d_355",56.1,4,0.0597014925373134
"tree_1d_62",60.18,15,0.0955414012738854
